qrs_mode,model_id,total_state_dim,n_unique_test_patients,mean_present_class_macro_f1,mean_af_f1,total_peak_inference_bytes,total_static_bytes,total_persistent_bytes,recurrent_param_count
oracle,gru_factored,16,5,0.5335751397607613,0.4711038384959664,3660.0,2828.0,100.0,384.0
oracle,gru_factored,32,5,0.46368244086460597,0.36409043251489515,9740.0,8652.0,164.0,1536.0
oracle,gru_monolithic,16,5,0.5959327036742627,0.5612076956890047,5964.0,5132.0,100.0,768.0
oracle,gru_monolithic,32,5,0.5461145317637083,0.45704428129041447,17420.0,16332.0,164.0,3072.0
oracle,gru_random,16,5,0.4862173798829808,0.40139915621926664,3660.0,2828.0,100.0,384.0
oracle,gru_random,32,5,0.44476394622022486,0.33598855841776804,9740.0,8652.0,164.0,1536.0
