model_id,total_state_dim,patient_id,metric,deployable,oracle,deployable_minus_oracle
gru_factored,16,04936,present_class_macro_f1,0.4865569357617516,0.6858000530150512,-0.19924311725329963
gru_factored,16,06426,present_class_macro_f1,0.049294742807857554,0.40336791200288236,-0.3540731691950248
gru_factored,16,06995,present_class_macro_f1,0.011004591907928551,0.6512933957447523,-0.6402888038368237
gru_factored,16,07162,present_class_macro_f1,0.0,0.36454626653193417,-0.36454626653193417
gru_factored,16,08378,present_class_macro_f1,0.4362623678232538,0.5628680715091865,-0.1266057036859327
gru_factored,32,04936,present_class_macro_f1,0.4851729818780889,0.6224552083017952,-0.13728222642370635
gru_factored,32,06426,present_class_macro_f1,0.04046266605656266,0.3123909469253709,-0.2719282808688082
gru_factored,32,06995,present_class_macro_f1,0.006454151908697364,0.5185499670896954,-0.512095815180998
gru_factored,32,07162,present_class_macro_f1,0.0003198400895475512,0.34861668147824304,-0.3482968413886955
gru_factored,32,08378,present_class_macro_f1,0.44544041138212254,0.5163994005279255,-0.07095898914580301
gru_monolithic,16,04936,present_class_macro_f1,0.490515552857807,0.7073374968038818,-0.2168219439460748
gru_monolithic,16,06426,present_class_macro_f1,0.09527755672573207,0.4464134810390664,-0.35113592431333435
gru_monolithic,16,06995,present_class_macro_f1,0.08314508240513321,0.7800050876946583,-0.6968600052895251
gru_monolithic,16,07162,present_class_macro_f1,0.09828223186472665,0.45587180779523867,-0.357589575930512
gru_monolithic,16,08378,present_class_macro_f1,0.468590840384646,0.5900356450384684,-0.1214448046538224
gru_monolithic,32,04936,present_class_macro_f1,0.4851729818780889,0.636756314011645,-0.15158333213355613
gru_monolithic,32,06426,present_class_macro_f1,0.053291021943777994,0.41158125408922813,-0.35829023214545014
gru_monolithic,32,06995,present_class_macro_f1,0.004453337120023663,0.5507461208045402,-0.5462927836845165
gru_monolithic,32,07162,present_class_macro_f1,0.0,0.5193648502035659,-0.5193648502035659
gru_monolithic,32,08378,present_class_macro_f1,0.4298404864349569,0.6121241197095622,-0.18228363327460523
gru_random,16,04936,present_class_macro_f1,0.4851729818780889,0.6712109217429177,-0.18603793986482886
gru_random,16,06426,present_class_macro_f1,0.03721233688995126,0.30871104431100604,-0.2714987074210548
gru_random,16,06995,present_class_macro_f1,0.017052539001678267,0.4978385959588388,-0.48078605695716053
gru_random,16,07162,present_class_macro_f1,0.0,0.42300376265697565,-0.42300376265697565
gru_random,16,08378,present_class_macro_f1,0.416575310585004,0.5303225747451659,-0.11374726416016184
gru_random,32,04936,present_class_macro_f1,0.4851729818780889,0.6328316977839455,-0.14765871590585666
gru_random,32,06426,present_class_macro_f1,0.03414042281814525,0.24760385211448793,-0.21346342929634268
gru_random,32,06995,present_class_macro_f1,0.001752289924332935,0.333029701773949,-0.33127741184961607
gru_random,32,07162,present_class_macro_f1,0.0021483986473045556,0.4754445915522118,-0.47329619290490726
gru_random,32,08378,present_class_macro_f1,0.43824037617094963,0.5349098878765302,-0.09666951170558052
