run_id,experiment_id,config_hash,commit_sha,environment_hash,dataset_id,model_id,total_state_dim,atrial_state_dim,rhythm_state_dim,dtype_bytes,seed,patient_id,recurrent_state_bytes,recurrent_param_count,readout_param_count,macro_f1,sensitivity,specificity,ppv,acc_concordant,acc_discordant,status
29dc44e8f78c,kill_gate_pilot,d29d14d3b194469e,27b85cd,2ab0f9d17d10572c,synthetic_v1,monolithic,32,16,16,4,0,P0012,128,1024,33,0.9918907960535208,0.9973474801061007,0.983739837398374,0.9947089947089947,0.9931972789115646,1.0,PASS
29dc44e8f78c,kill_gate_pilot,d29d14d3b194469e,27b85cd,2ab0f9d17d10572c,synthetic_v1,monolithic,32,16,16,4,0,P0013,128,1024,33,0.9930242616180922,0.9935897435897436,0.9941860465116279,0.9872611464968153,0.9930394431554525,1.0,PASS
29dc44e8f78c,kill_gate_pilot,d29d14d3b194469e,27b85cd,2ab0f9d17d10572c,synthetic_v1,monolithic,32,16,16,4,0,P0014,128,1024,33,0.9919535235520365,0.9925650557620818,0.9913419913419913,0.9925650557620818,0.993006993006993,0.9859154929577465,PASS
29dc44e8f78c,kill_gate_pilot,d29d14d3b194469e,27b85cd,2ab0f9d17d10572c,synthetic_v1,monolithic,32,16,16,4,0,P0015,128,1024,33,0.9919896185456352,0.991701244813278,0.9922779922779923,0.991701244813278,0.9909706546275395,1.0,PASS
29dc44e8f78c,kill_gate_pilot,d29d14d3b194469e,27b85cd,2ab0f9d17d10572c,synthetic_v1,monolithic,32,16,16,4,0,P0016,128,1024,33,0.990439587755024,0.9932432432432432,0.9914772727272727,0.98,0.9930875576036866,0.9848484848484849,PASS
29dc44e8f78c,kill_gate_pilot,d29d14d3b194469e,27b85cd,2ab0f9d17d10572c,synthetic_v1,monolithic,32,16,16,4,0,P0019,128,1024,33,0.9878787878787879,0.9910714285714286,0.9855072463768116,0.9823008849557522,0.9889867841409692,0.9782608695652174,PASS
29dc44e8f78c,kill_gate_pilot,d29d14d3b194469e,27b85cd,2ab0f9d17d10572c,synthetic_v1,monolithic,32,16,16,4,0,P0025,128,1024,33,0.9899323048175934,0.9925925925925926,0.9869565217391304,0.988929889298893,0.9909502262443439,0.9827586206896551,PASS
29dc44e8f78c,kill_gate_pilot,d29d14d3b194469e,27b85cd,2ab0f9d17d10572c,synthetic_v1,monolithic,32,16,16,4,0,P0029,128,1024,33,0.9859527450342953,0.9923954372623575,0.9789029535864979,0.981203007518797,0.9863945578231292,0.9830508474576272,PASS
29dc44e8f78c,kill_gate_pilot,d29d14d3b194469e,27b85cd,2ab0f9d17d10572c,synthetic_v1,monolithic,32,16,16,4,0,P0031,128,1024,33,0.9959627931012209,1.0,0.9927272727272727,0.9911894273127754,0.995475113122172,1.0,PASS
29dc44e8f78c,kill_gate_pilot,d29d14d3b194469e,27b85cd,2ab0f9d17d10572c,synthetic_v1,monolithic,32,16,16,4,0,P0032,128,1024,33,0.9859837972696437,0.9922178988326849,0.9794238683127572,0.9807692307692307,0.9910913140311804,0.9411764705882353,PASS
29dc44e8f78c,kill_gate_pilot,d29d14d3b194469e,27b85cd,2ab0f9d17d10572c,synthetic_v1,monolithic,32,16,16,4,0,P0033,128,1024,33,0.9958949096880132,0.9952380952380953,0.996551724137931,0.9952380952380953,0.9954128440366973,1.0,PASS
29dc44e8f78c,kill_gate_pilot,d29d14d3b194469e,27b85cd,2ab0f9d17d10572c,synthetic_v1,monolithic,32,16,16,4,0,P0036,128,1024,33,0.9837646524012078,0.9615384615384616,0.9977678571428571,0.9803921568627451,0.9954648526077098,0.9830508474576272,PASS
29dc44e8f78c,kill_gate_pilot,d29d14d3b194469e,27b85cd,2ab0f9d17d10572c,synthetic_v1,monolithic,32,16,16,4,0,P0039,128,1024,33,0.9919937230788939,0.9922178988326849,0.9917695473251029,0.9922178988326849,0.9930715935334873,0.9850746268656716,PASS
